acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,timestamp,label
-4.007978,-8.41795,1.897508,1.68,15.54,20.719999,1729431845422.0,0.0
-3.938586,-8.860621,1.299303,-116.410004,-1.33,16.24,1729431845443.0,0.0
-3.491128,-9.578469,-1.356731,-176.330002,-24.219999,3.43,1729431845463.0,0.0
-2.883351,-10.908878,-3.744767,-130.690002,-33.670002,8.68,1729431845482.0,0.0
-2.053042,-9.585647,-3.505485,-19.879999,-5.81,17.57,1729431845502.0,0.0
-3.416951,-8.863015,-1.17009,139.440002,29.75,47.740002,1729431845522.0,0.0
-3.878766,-9.743573,-0.291924,199.570007,22.889999,50.259998,1729431845542.0,0.0
-4.632504,-9.686146,1.564906,235.759995,27.58,59.080002,1729431845562.0,0.0
-5.685347,-7.568498,3.165704,199.009995,30.799999,52.920002,1729431845583.0,0.0
-6.941578,-8.525627,3.802195,96.599998,15.26,43.119999,1729431845602.0,0.0
-7.082755,-10.482956,2.596212,2.59,-8.68,16.379999,1729431845622.0,0.0
-6.412765,-10.174281,1.232304,-32.900002,-14.77,1.54,1729431845643.0,0.0
-5.52742,-9.616754,0.72024,-43.889999,-9.45,-11.27,1729431845661.0,0.0
-4.907679,-9.341579,0.772882,-77.559998,-3.99,-28.07,1729431845682.0,0.0
-4.364508,-8.690732,0.320638,-130.830002,1.96,-38.57,1729431845702.0,0.0
-3.771089,-8.200203,-0.052642,-186.270004,6.86,-44.029999,1729431845721.0,0.0
-3.215954,-8.298308,-1.064806,-236.880005,6.3,-47.670002,1729431845742.0,0.0
-2.694318,-8.386844,-2.730211,-278.040009,-0.77,-52.990002,1729431845762.0,0.0
-2.447858,-7.984849,-4.101298,-289.170013,-2.52,-57.610001,1729431845786.0,0.0
-2.426322,-7.783852,-5.094319,-281.540009,2.45,-58.099998,1729431845801.0,0.0
-2.469393,-8.403593,-6.132804,-269.429993,6.16,-58.450001,1729431845822.0,0.0
-2.268396,-8.85823,-7.578069,-244.020004,3.85,-57.889999,1729431845842.0,0.0
-1.911865,-8.003991,-8.020741,-217.979996,12.25,-50.75,1729431845862.0,0.0
-1.734797,-6.54437,-8.030313,-194.039993,20.02,-42.98,1729431845882.0,0.0
-1.883151,-5.98445,-8.209774,-179.970001,30.870001,-36.189999,1729431845901.0,0.0
-1.875973,-6.099305,-8.853443,-174.649994,38.360001,-30.66,1729431845922.0,0.0
-1.572084,-7.097112,-9.377472,-164.850006,44.380001,-24.99,1729431845944.0,0.0
-1.679761,-6.802795,-9.458827,-137.690002,52.5,-18.41,1729431845962.0,0.0
-2.184647,-5.182854,-8.913264,-99.540001,59.010002,-9.17,1729431845982.0,0.0
-2.490928,-5.245068,-9.044869,-75.459999,64.470001,-0.49,1729431846001.0,0.0
-2.031506,-5.656632,-9.147761,-43.540001,68.669998,3.57,1729431846023.0,0.0
-1.794617,-5.029713,-8.903693,6.37,70.910004,9.17,1729431846045.0,0.0
-1.844866,-4.465007,-8.30788,33.599998,70.980003,9.87,1729431846064.0,0.0
-1.433301,-4.244867,-7.903493,28.42,67.129997,7.49,1729431846082.0,0.0
-1.311267,-4.323831,-7.817351,12.32,62.23,7.98,1729431846101.0,0.0
-1.698904,-4.465007,-7.503892,-8.47,58.099998,8.12,1729431846121.0,0.0
-1.651048,-5.17089,-7.338787,-24.780001,52.57,8.75,1729431846143.0,0.0
-1.292124,-5.469993,-7.278966,-19.67,45.5,9.52,1729431846162.0,0.0
-1.471586,-5.182854,-7.209574,13.72,34.580002,11.62,1729431846182.0,0.0
