acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,timestamp,label
-0.875773,-4.613362,-9.028119,6.93,-5.25,-3.29,1729475415793.0,0.0
-0.954736,-4.4339,-8.796017,12.53,-5.18,-2.87,1729475415793.0,0.0
-1.048056,-4.342973,-8.906086,7.28,-7.91,-1.96,1729475415794.0,0.0
-1.11027,-4.713861,-8.877372,0.7,-6.02,-0.28,1729475415810.0,0.0
-1.095913,-4.82393,-8.784052,-0.14,-4.76,-1.12,1729475415831.0,0.0
-0.978664,-4.831109,-9.279366,2.31,-7.0,-2.66,1729475415851.0,0.0
-0.892523,-4.63729,-9.001799,-0.28,-1.89,-4.27,1729475415871.0,0.0
-0.937986,-4.682754,-8.922836,0.91,-1.68,-4.62,1729475415892.0,0.0
-0.870987,-4.275974,-9.049655,3.57,-5.04,-3.92,1729475415912.0,0.0
-0.885344,-4.400401,-9.183653,2.66,-4.55,-2.03,1729475415930.0,0.0
-0.98345,-4.615755,-9.028119,1.75,-3.43,-2.31,1729475415950.0,0.0
-1.198804,-4.565506,-8.786445,0.21,-0.98,-3.85,1729475415971.0,0.0
-1.37348,-4.649254,-8.702696,0.28,-0.77,-4.55,1729475415991.0,0.0
-1.375873,-4.512863,-8.714661,2.52,-2.94,-4.76,1729475416010.0,0.0
-1.45005,-4.465007,-8.676375,0.98,-2.24,-4.34,1729475416034.0,0.0
-1.825724,-4.606184,-8.793623,-2.73,0.56,-2.94,1729475416051.0,0.0
-2.139183,-4.855037,-8.788837,-5.18,2.45,-1.89,1729475416071.0,0.0
-2.359323,-5.039285,-8.798409,-5.04,3.64,-1.05,1729475416092.0,0.0
-2.435893,-5.182854,-8.855836,-1.33,2.17,0.7,1729475416109.0,0.0
-2.40718,-5.405386,-8.793623,-1.33,2.45,1.05,1729475416131.0,0.0
-2.428715,-5.721239,-8.432307,-2.24,4.83,-0.91,1729475416151.0,0.0
-2.364109,-5.74756,-8.334201,0.63,3.29,-3.08,1729475416171.0,0.0
-1.971686,-5.374279,-8.513663,10.64,-2.94,-5.53,1729475416191.0,0.0
-1.782653,-4.900501,-9.042477,22.469999,-7.84,-5.32,1729475416211.0,0.0
-2.342573,-4.244867,-8.848659,28.630001,-0.14,-4.41,1729475416231.0,0.0
-2.435893,-4.517649,-8.128418,25.200001,9.52,-0.7,1729475416251.0,0.0
-1.942972,-5.036892,-8.025528,17.639999,-5.67,-0.7,1729475416270.0,0.0
-1.658226,-5.254639,-8.41795,11.34,-14.42,-1.54,1729475416291.0,0.0
-2.208575,-4.996214,-8.729016,8.12,-3.43,-6.86,1729475416311.0,0.0
-2.943172,-4.632504,-8.382057,12.11,9.52,-8.68,1729475416332.0,0.0
-2.761317,-4.328616,-7.858029,15.33,0.14,-8.33,1729475416351.0,0.0
-2.038685,-4.725825,-8.133204,12.81,-24.780001,-4.48,1729475416371.0,0.0
-1.813759,-5.103891,-8.707481,-2.24,-24.92,-6.86,1729475416393.0,0.0
