acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,timestamp,label
0.055035,-8.669197,-2.268396,-186.970001,79.029999,-28.42,1729477009276.0,0.0
-0.306281,-9.004191,-3.869194,-170.660004,80.290001,-18.549999,1729477009277.0,0.0
-1.07677,-10.346564,-4.666004,-128.869995,84.0,-9.52,1729477009277.0,0.0
-1.481157,-9.980463,-4.441079,-58.240002,89.18,-0.21,1729477009278.0,0.0
-1.569692,-8.46102,-3.471986,-32.830002,84.139999,4.2,1729477009294.0,0.0
-1.789831,-7.810174,-2.935993,-29.540001,77.980003,10.85,1729477009315.0,0.0
-2.266003,-7.956135,-2.976671,-52.360001,68.110001,17.360001,1729477009335.0,0.0
-2.921637,-8.216952,-3.555735,-75.669998,58.380001,22.889999,1729477009354.0,0.0
-3.56052,-8.312666,-3.924229,-86.239998,48.16,28.42,1729477009374.0,0.0
-4.067799,-8.685946,-4.118048,-69.370003,38.150002,33.389999,1729477009394.0,0.0
-4.405186,-8.9348,-4.273581,-41.720001,29.889999,34.650002,1729477009414.0,0.0
-4.778467,-9.023334,-4.299902,-5.04,25.620001,33.599998,1729477009439.0,0.0
-5.175675,-8.669197,-3.720839,10.71,23.1,30.309999,1729477009454.0,0.0
-5.32403,-8.54477,-3.409772,15.75,19.18,24.08,1729477009474.0,0.0
-5.362316,-8.51127,-3.85723,24.219999,12.81,18.76,1729477009494.0,0.0
-5.022535,-8.396415,-3.524628,21.07,9.45,15.05,1729477009514.0,0.0
-4.847858,-8.779266,-3.010171,12.95,13.79,11.48,1729477009535.0,0.0
-4.354938,-8.997013,-3.18724,4.34,11.9,4.62,1729477009554.0,0.0
-3.5007,-9.006584,-3.512664,8.12,5.39,1.19,1729477009573.0,0.0
-2.782853,-8.532805,-3.151347,16.870001,5.25,0.42,1729477009594.0,0.0
-2.366502,-8.396415,-3.302095,15.33,2.31,-0.7,1729477009614.0,0.0
-2.225325,-8.389235,-3.536592,14.91,-1.4,1.61,1729477009635.0,0.0
-2.404787,-8.860621,-3.404987,8.05,-0.98,2.45,1729477009654.0,0.0
-2.151148,-8.982656,-3.699304,10.71,-2.31,0.07,1729477009674.0,0.0
-1.852045,-8.408379,-3.749553,16.309999,-5.67,0.42,1729477009694.0,0.0
-1.9669,-8.54477,-3.888337,10.15,-2.59,0.56,1729477009714.0,0.0
-2.048256,-8.891729,-3.682554,-1.54,1.12,1.96,1729477009736.0,0.0
-1.9669,-8.980263,-3.658626,-7.42,-0.42,1.19,1729477009754.0,0.0
-1.98365,-8.803195,-4.158726,-10.64,-1.05,-0.21,1729477009774.0,0.0
-1.923829,-8.956335,-4.108476,-12.88,-1.05,1.12,1729477009794.0,0.0
-2.11047,-9.269794,-4.010371,-15.96,2.73,2.24,1729477009814.0,0.0
-2.37368,-9.513863,-4.15394,-12.11,5.25,0.7,1729477009835.0,0.0
-2.333002,-9.308081,-4.472186,-0.14,3.78,-0.84,1729477009854.0,0.0
-1.995614,-9.001799,-4.383651,7.21,2.8,0.07,1729477009873.0,0.0
-1.813759,-8.898908,-4.130012,3.15,3.99,2.45,1729477009893.0,0.0
-2.019542,-9.238688,-3.4672,0.35,7.7,3.78,1729477009914.0,0.0
-1.914258,-9.085547,-3.74716,12.74,3.36,3.99,1729477009935.0,0.0
-1.708475,-8.9683,-3.596412,14.35,0.84,4.83,1729477009954.0,0.0
-2.026721,-9.102298,-3.615555,5.46,4.62,3.43,1729477009974.0,0.0
-2.376073,-9.207582,-3.565305,1.82,5.74,1.19,1729477009993.0,0.0
-1.883151,-9.217153,-3.507878,6.79,-1.26,0.7,1729477010014.0,0.0
-1.959722,-9.238688,-3.440879,10.71,0.14,-0.7,1729477010036.0,0.0
-2.605784,-9.312866,-3.287738,4.62,7.07,-3.92,1729477010053.0,0.0
-2.435893,-9.111869,-3.567699,0.77,0.28,-6.09,1729477010073.0,0.0
-1.974079,-8.975478,-3.76391,0.77,-4.76,-5.39,1729477010094.0,0.0
-1.957329,-9.066404,-3.964907,-6.79,-2.94,-5.74,1729477010114.0,0.0
-2.053042,-9.45165,-4.113262,-6.79,0.49,-6.09,1729477010135.0,0.0
-1.904687,-9.265009,-4.125226,5.11,-0.21,-5.6,1729477010162.0,0.0
-1.952543,-8.82473,-3.95055,10.57,0.84,-4.34,1729477010173.0,0.0
-2.275574,-8.82473,-3.974478,8.19,4.41,-3.78,1729477010196.0,0.0
-2.28036,-8.985049,-3.826123,4.2,4.76,-4.41,1729477010214.0,0.0
-2.182254,-9.131011,-3.617948,3.85,5.81,-6.02,1729477010235.0,0.0
-1.899901,-9.042477,-3.632305,2.87,3.22,-7.28,1729477010254.0,0.0
-1.902294,-9.008978,-3.421736,0.07,3.85,-7.63,1729477010275.0,0.0
-1.974079,-9.190832,-3.402594,-3.99,3.71,-7.84,1729477010294.0,0.0
-1.87358,-9.181261,-3.5007,-2.87,0.77,-7.98,1729477010314.0,0.0
-2.021935,-8.879765,-3.562913,-0.98,0.42,-6.79,1729477010338.0,0.0
-2.206182,-8.937192,-3.692125,-4.83,0.63,-5.46,1729477010354.0,0.0
-2.053042,-9.243474,-3.730411,-8.61,-0.07,-3.78,1729477010374.0,0.0
