acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,timestamp,label
-3.663411,-18.362522,3.019742,177.520004,27.93,36.189999,1729476560253.0,0.0
-4.82393,-7.209574,-2.359323,6.02,89.599998,16.450001,1729476560253.0,0.0
-9.480364,-10.396815,2.053042,-4.97,92.470001,5.39,1729476560254.0,0.0
-9.166903,-10.415956,-0.055035,-120.889999,52.360001,-38.779999,1729476560258.0,0.0
-1.497907,-15.342779,0.308674,-157.710007,-4.83,-85.540001,1729476560279.0,0.0
3.828516,-16.386049,-1.584049,-156.800003,20.16,-98.699997,1729476560298.0,0.0
2.725425,-14.294723,-0.976272,-44.170002,72.870003,-92.400002,1729476560318.0,0.0
0.253639,-10.480563,-0.739382,21.629999,94.639999,-90.650002,1729476560340.0,0.0
-0.363709,-7.49432,0.409173,11.76,91.139999,-85.540001,1729476560358.0,0.0
1.01695,-6.515656,0.306281,-34.439999,72.169998,-78.610001,1729476560379.0,0.0
1.734797,-6.388836,-0.380459,-118.860001,68.18,-62.16,1729476560399.0,0.0
1.605584,-8.346166,-1.677369,-128.100006,73.709999,-44.799999,1729476560418.0,0.0
1.019342,-9.523434,-2.957529,-112.559998,79.870003,-28.91,1729476560438.0,0.0
0.409173,-10.124033,-3.608376,-86.660004,85.260002,-18.9,1729476560459.0,0.0
0.01675,-9.60479,-3.711268,-84.769997,85.190002,-13.09,1729476560479.0,0.0
-0.55992,-9.403792,-3.649055,-76.510002,83.300003,-4.2,1729476560497.0,0.0
-1.366302,-9.68136,-3.148954,-63.77,84.840004,2.24,1729476560518.0,0.0
-1.9669,-9.317651,-3.460021,-52.709999,76.230003,2.45,1729476560542.0,0.0
-2.155933,-8.671589,-3.651447,-42.209999,60.27,5.88,1729476560558.0,0.0
-2.337788,-7.91785,-3.84048,-29.469999,49.349998,13.3,1729476560579.0,0.0
-2.794817,-7.716853,-3.381058,-22.120001,44.450001,21.559999,1729476560598.0,0.0
-3.541377,-7.312466,-3.041277,-28.77,37.029999,25.690001,1729476560618.0,0.0
-4.199404,-7.520642,-3.54377,-28.49,26.74,28.139999,1729476560639.0,0.0
-4.407579,-7.704889,-4.017549,-30.52,14.35,31.780001,1729476560657.0,0.0
-4.462614,-8.054241,-3.725625,-28.42,9.24,31.639999,1729476560679.0,0.0
-4.54397,-8.408379,-3.201597,-23.030001,6.93,29.82,1729476560698.0,0.0
-4.316652,-8.748159,-3.9338,-12.67,-0.28,22.33,1729476560718.0,0.0
-4.058227,-8.705089,-3.699304,-1.4,2.59,17.85,1729476560739.0,0.0
-3.838088,-9.506684,-3.48395,8.47,3.64,16.24,1729476560758.0,0.0
-3.354738,-9.564112,-3.548556,21.210001,2.38,10.15,1729476560781.0,0.0
-3.125026,-8.772088,-3.536592,36.189999,4.34,9.03,1729476560798.0,0.0
-3.081956,-8.745767,-2.57707,33.18,6.09,7.77,1729476560818.0,0.0
-2.883351,-8.561519,-3.414558,14.84,3.08,2.1,1729476560841.0,0.0
-2.17029,-8.487342,-3.862016,4.55,-2.66,3.22,1729476560860.0,0.0
-1.811367,-8.953942,-3.369094,7.35,0.14,8.26,1729476560881.0,0.0
-1.885544,-9.274581,-3.333202,2.94,2.73,5.88,1729476560897.0,0.0
-2.096112,-8.779266,-3.85723,-6.09,1.12,3.5,1729476560919.0,0.0
-1.832902,-8.73141,-4.017549,-17.290001,-3.78,4.06,1729476560940.0,0.0
-1.538585,-9.188439,-4.376472,-25.620001,-6.86,4.48,1729476560959.0,0.0
-1.756332,-9.571291,-4.254438,-23.799999,-0.21,1.89,1729476560991.0,0.0
-2.021935,-9.60479,-4.273581,-13.72,4.55,-2.73,1729476560998.0,0.0
-1.68694,-9.154939,-4.266403,-2.66,1.68,-4.9,1729476561019.0,0.0
-1.325624,-8.772088,-4.118048,-0.35,-0.07,-4.83,1729476561039.0,0.0
-1.701297,-9.159724,-3.711268,-5.46,6.58,-3.43,1729476561061.0,0.0
-1.682154,-9.164511,-3.814159,-5.46,3.99,-3.01,1729476561079.0,0.0
-1.579263,-8.829515,-3.835695,8.96,0.98,-1.33,1729476561098.0,0.0
-2.067399,-8.738588,-3.804588,8.75,4.34,0.7,1729476561120.0,0.0
-2.392823,-9.016156,-3.711268,3.22,7.21,0.91,1729476561139.0,0.0
-2.143969,-9.336794,-3.517449,2.87,2.45,0.49,1729476561158.0,0.0
-1.964507,-9.162118,-3.5007,3.15,1.12,-0.98,1729476561186.0,0.0
-1.945365,-9.037691,-3.641876,-2.66,0.91,-1.68,1729476561199.0,0.0
-1.684547,-9.329616,-3.74716,-5.95,-2.17,0.07,1729476561218.0,0.0
-1.29691,-9.659825,-3.974478,-2.8,-4.2,1.82,1729476561240.0,0.0
-1.591227,-9.79143,-4.113262,5.25,0.56,0.49,1729476561258.0,0.0
-1.959722,-9.731609,-4.225725,14.56,5.81,-3.08,1729476561280.0,0.0
-1.655833,-9.427721,-4.165904,20.58,3.92,-4.34,1729476561299.0,0.0
-1.256232,-9.432507,-4.201797,22.4,1.89,-4.41,1729476561320.0,0.0
-1.514657,-9.98525,-4.07737,22.610001,8.33,-6.02,1729476561339.0,0.0
-1.756332,-10.463813,-4.103691,35.490002,16.450001,-14.14,1729476561361.0,0.0
-1.246661,-9.602397,-3.998406,71.540001,12.95,-15.4,1729476561379.0,0.0
-0.954736,-9.032906,-3.469593,74.620003,13.23,-14.42,1729476561399.0,0.0
-1.371087,-9.485149,-2.986243,69.370003,20.02,-12.39,1729476561419.0,0.0
-1.725225,-9.671788,-2.600998,67.830002,22.190001,-13.65,1729476561439.0,0.0
-1.667797,-9.174082,-2.354537,69.440002,18.549999,-13.51,1729476561459.0,0.0
-1.299303,-8.757731,-2.112862,62.439999,12.46,-11.2,1729476561481.0,0.0
-1.414158,-8.85105,-1.811367,45.220001,11.13,-8.54,1729476561498.0,0.0
-1.734797,-9.272188,-1.665405,32.34,14.77,-8.26,1729476561521.0,0.0
-1.655833,-9.276974,-1.433301,26.67,10.85,-7.98,1729476561543.0,0.0
-1.318445,-9.339187,-1.366302,24.92,4.34,-5.53,1729476561560.0,0.0
-1.28016,-9.41815,-1.351945,18.059999,3.08,-6.02,1729476561581.0,0.0
-1.612763,-9.798609,-1.241875,9.45,5.11,-7.07,1729476561600.0,0.0
-1.543371,-10.023535,-1.179662,0.77,0.91,-7.91,1729476561621.0,0.0
-1.332802,-10.169496,-1.201197,1.05,-4.83,-9.59,1729476561641.0,0.0
-1.706082,-10.068997,-1.105484,1.47,-2.52,-14.91,1729476561660.0,0.0
-1.531406,-9.908678,-1.057628,-0.28,-6.65,-17.360001,1729476561690.0,0.0
-0.933201,-10.085747,-1.607977,6.51,-15.47,-15.33,1729476561701.0,0.0
-1.083949,-9.932607,-1.603191,15.12,-12.39,-13.58,1729476561720.0,0.0
-1.98365,-9.817751,-1.07677,10.15,-7.49,-10.92,1729476561740.0,0.0
-2.474179,-10.009177,-0.897308,2.73,-12.32,-11.41,1729476561760.0,0.0
-2.182254,-10.121639,-0.866202,3.29,-20.09,-15.4,1729476561780.0,0.0
-1.689333,-9.700503,-0.847059,2.31,-26.32,-19.74,1729476561802.0,0.0
-1.904687,-9.01137,-0.734596,-3.29,-25.76,-24.57,1729476561819.0,0.0
-2.036292,-8.721838,-0.949951,-13.79,-30.1,-25.059999,1729476561840.0,0.0
-1.351945,-8.683553,-1.397408,-23.379999,-42.700001,-18.27,1729476561860.0,0.0
