acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,timestamp,label
-1.852045,-8.214561,-4.04387,-23.379999,-13.93,16.799999,1729474069989.0,0.0
-1.952543,-8.848659,-4.869394,-41.299999,-16.309999,16.52,1729474069997.0,0.0
-2.215754,-9.236296,-5.225924,-39.549999,-12.53,12.95,1729474069998.0,0.0
-2.481357,-9.24108,-5.118248,-19.389999,-4.97,11.62,1729474069999.0,0.0
-2.644069,-8.989835,-5.07757,-4.06,-4.27,9.52,1729474070012.0,0.0
-2.656033,-8.992228,-4.843073,-3.5,-2.24,7.91,1729474070034.0,0.0
-2.54357,-9.166903,-4.347759,-15.190001,0.28,6.37,1729474070051.0,0.0
-2.414358,-9.406186,-4.0008,-22.26,0.28,3.85,1729474070072.0,0.0
-2.163112,-9.315259,-3.907479,-16.450001,-1.26,2.03,1729474070093.0,0.0
-1.883151,-9.133404,-3.955336,-4.62,-4.2,1.47,1729474070112.0,0.0
-1.823331,-9.054441,-4.089334,3.78,-4.27,1.75,1729474070132.0,0.0
-1.990828,-9.085547,-4.12044,5.6,-2.1,1.54,1729474070152.0,0.0
-2.299503,-9.135797,-4.216154,-0.56,-1.4,0.28,1729474070172.0,0.0
-2.234896,-9.21476,-4.273581,-8.4,-6.58,0.49,1729474070193.0,0.0
-2.081756,-9.219545,-4.37408,-10.22,-12.04,-0.56,1729474070213.0,0.0
-2.091327,-8.846266,-4.41715,-11.06,-11.9,-1.68,1729474070233.0,0.0
-2.091327,-8.451449,-4.146761,-16.379999,-9.59,-2.73,1729474070252.0,0.0
-2.084148,-8.312666,-4.134798,-31.08,-11.2,-1.82,1729474070273.0,0.0
-2.081756,-8.49452,-4.386044,-46.830002,-12.88,-1.33,1729474070292.0,0.0
-2.084148,-8.568698,-4.613362,-56.139999,-10.01,-2.17,1729474070312.0,0.0
-2.053042,-8.69791,-4.981857,-48.509998,-8.61,-0.7,1729474070333.0,0.0
-2.038685,-8.743374,-4.991428,-21.700001,-8.54,0.7,1729474070352.0,0.0
-2.108077,-8.556733,-4.776074,14.35,-4.41,3.22,1729474070373.0,0.0
-2.292324,-8.102098,-4.575077,33.389999,-3.92,3.15,1729474070392.0,0.0
-2.40718,-8.020741,-4.572684,26.18,-3.85,3.57,1729474070414.0,0.0
-2.567499,-8.51127,-4.924429,13.93,-5.39,5.67,1729474070433.0,0.0
-2.603391,-8.915657,-5.108676,20.58,-4.9,7.49,1729474070452.0,0.0
-2.871387,-8.937192,-5.079963,38.290001,-0.7,6.58,1729474070477.0,0.0
-3.299703,-8.578269,-4.756931,46.900002,10.36,1.33,1729474070492.0,0.0
-3.570091,-8.712267,-4.280759,42.349998,16.24,-1.47,1729474070512.0,0.0
-3.388237,-8.865408,-4.125226,32.619999,9.8,-1.12,1729474070534.0,0.0
-3.215954,-8.836694,-4.048656,37.170002,7.56,-1.82,1729474070551.0,0.0
-3.254239,-8.578269,-3.881158,38.009998,9.24,-2.87,1729474070573.0,0.0
-3.369094,-8.353344,-3.74716,29.75,10.99,-3.5,1729474070592.0,0.0
-3.215954,-8.41795,-3.749553,12.81,5.95,-2.94,1729474070612.0,0.0
