acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,timestamp,label
-3.735196,-7.89153,-5.142176,-91.209999,26.530001,23.17,1729476226510.0,0.0
-3.775874,-8.269595,-5.046463,-83.720001,16.17,21.91,1729476226510.0,0.0
-3.940979,-8.216952,-5.65424,-73.5,11.27,15.68,1729476226511.0,0.0
-4.072584,-8.274381,-5.85763,-44.59,9.1,13.58,1729476226525.0,0.0
-3.917051,-8.226524,-5.958128,-19.18,5.25,11.69,1729476226544.0,0.0
-3.589234,-7.659425,-5.673382,-14.91,3.5,10.57,1729476226565.0,0.0
-3.486342,-7.676175,-5.24746,-14.77,9.1,10.71,1729476226585.0,0.0
-2.971886,-7.82453,-5.635098,-4.62,0.56,12.18,1729476226605.0,0.0
-2.639283,-7.771888,-5.955735,2.59,-0.49,12.46,1729476226625.0,0.0
-2.514857,-7.601997,-5.63749,5.6,-1.12,12.95,1729476226644.0,0.0
-2.397608,-7.056434,-5.539384,3.15,-1.75,13.02,1729476226664.0,0.0
-2.35693,-6.893722,-6.032306,-4.97,-2.87,12.88,1729476226685.0,0.0
-2.218147,-7.377072,-6.305088,-9.8,-0.91,12.53,1729476226713.0,0.0
-2.277967,-8.262416,-6.565905,-6.58,-0.14,10.08,1729476226725.0,0.0
-2.304288,-7.362715,-6.826723,-2.03,1.26,4.48,1729476226744.0,0.0
-2.012364,-6.929615,-6.817152,-5.74,1.26,2.17,1729476226764.0,0.0
-1.799403,-7.257431,-6.690332,-8.26,4.13,2.52,1729476226785.0,0.0
-1.804188,-7.657032,-6.647261,-3.85,8.33,2.8,1729476226805.0,0.0
-2.457429,-7.578069,-6.711867,-2.17,13.86,-1.61,1729476226824.0,0.0
-2.880959,-6.577869,-6.218946,-8.75,23.1,-6.51,1729476226844.0,0.0
-2.634498,-7.185646,-6.12084,-11.55,20.23,-7.21,1729476226864.0,0.0
-1.773082,-7.518249,-6.477371,-13.440001,7.91,-2.45,1729476226885.0,0.0
-2.268396,-8.023134,-6.072984,-9.66,15.05,-2.17,1729476226904.0,0.0
-1.995614,-7.302894,-5.553742,9.1,8.89,-2.73,1729476226925.0,0.0
-2.287539,-7.066005,-5.417351,21.210001,0.49,-0.49,1729476226944.0,0.0
-2.849852,-6.989435,-5.855237,-3.36,1.33,-0.14,1729476226964.0,0.0
-2.230111,-7.635497,-6.491727,-18.200001,-4.62,1.4,1729476226985.0,0.0
-1.629512,-7.932207,-7.156933,-14.98,-7.91,1.26,1729476227005.0,0.0
-2.0004,-7.975278,-7.068398,-5.32,-0.07,1.26,1729476227025.0,0.0
-1.820938,-7.89153,-6.783652,1.75,1.19,-0.77,1729476227045.0,0.0
-1.473979,-7.953743,-6.910471,8.26,0.28,-1.68,1729476227064.0,0.0
-1.531406,-7.965706,-6.817152,12.95,4.48,-3.71,1729476227088.0,0.0
-1.459622,-7.831708,-6.553941,18.129999,7.63,-5.39,1729476227106.0,0.0
-1.564906,-7.814958,-6.197411,14.07,9.03,-6.58,1729476227125.0,0.0
-1.663012,-7.592427,-6.491727,4.2,5.53,-7.14,1729476227144.0,0.0
-1.596013,-7.893922,-6.975078,1.75,3.29,-6.72,1729476227165.0,0.0
-1.342373,-8.059027,-6.762117,4.97,4.48,-7.14,1729476227184.0,0.0
-1.57687,-7.293324,-6.297909,10.08,9.45,-7.56,1729476227204.0,0.0
-1.615155,-7.130611,-6.350551,4.62,7.98,-6.51,1729476227225.0,0.0
-1.462015,-7.700103,-6.541977,-7.77,5.81,-5.74,1729476227244.0,0.0
